age,annual_income,monthly_savings,emergency_fund,risk_appetite,investment_goal,existing_investment_pct,debt_allocation,equity_allocation,mutual_fund_allocation
28,619964,9711,19422,Medium,Short-Term,0.137,4.58,34.47,60.95
38,1493776,43972,87944,Low,Wealth Creation,0.03,22.13,52.41,25.47
24,979333,21159,220282,Medium,Wealth Creation,0.012,16.77,62.47,20.75
35,1143989,28273,132299,Low,Short-Term,0.246,36.04,28.35,35.61
36,615074,10273,49621,Medium,Short-Term,0.042,4.79,35.82,59.39
40,300000,6044,17418,Medium,Wealth Creation,0.146,17.37,63.44,19.19
50,891537,24550,81886,Medium,Retirement,0.063,17.34,46.05,36.61
35,690205,16332,32747,Medium,Education,0.161,4.69,45.45,49.85
27,537244,11261,42427,Low,Education,0.082,25.87,40.13,34.01
31,1079619,16809,46663,Low,Tax Saving,0.24,18.31,43.71,37.98
18,1316682,23283,122811,Medium,Tax Saving,0.015,4.66,58.4,36.93
26,658068,14552,173774,High,Short-Term,0.115,23.02,46.41,30.58
28,586670,9618,63012,High,Short-Term,0.194,24.77,44.9,30.32
27,552249,8252,17445,Low,Wealth Creation,0.045,18.16,57.58,24.26
33,840946,19556,186823,Medium,Wealth Creation,0.045,13.96,65.48,20.55
25,356208,8688,20792,Medium,Short-Term,0.072,4.48,34.0,61.52
40,1047060,19171,38343,Low,Tax Saving,0.142,22.61,37.1,40.29
32,983006,13820,48398,Medium,Retirement,0.064,4.63,63.39,31.98
31,848441,20909,49248,High,Wealth Creation,0.051,15.48,64.49,20.03
29,900633,17689,35379,Medium,Retirement,0.109,4.63,66.35,29.02
33,1013203,13707,50973,Medium,Wealth Creation,0.097,11.35,69.63,19.03
38,316020,9145,20877,Medium,Short-Term,0.126,5.82,34.4,59.77
25,844906,18677,233155,Low,Wealth Creation,0.058,18.64,56.78,24.58
26,413430,5730,11993,High,Tax Saving,0.194,9.09,51.86,39.05
29,357132,4787,14507,High,Tax Saving,0.215,9.95,51.42,38.63
21,300000,4472,25456,Medium,Wealth Creation,0.348,15.11,64.25,20.64
25,760288,15746,31492,Medium,Wealth Creation,0.135,13.02,67.96,19.02
28,572903,8609,64059,Medium,Property Purchase,0.065,4.61,56.94,38.45
38,337133,7255,46291,Low,Tax Saving,0.03,22.84,38.34,38.83
34,1069097,21597,109319,Low,Tax Saving,0.055,19.74,39.41,40.85
33,332501,4579,15331,High,Retirement,0.059,12.84,66.68,20.48
38,1000706,16207,46886,High,Wealth Creation,0.201,14.03,66.81,19.16
30,833682,12878,82152,Medium,Education,0.232,4.58,45.2,50.22
35,1408769,23687,256796,Low,Property Purchase,0.138,25.57,44.05,30.38
31,2124246,27927,55854,High,Wealth Creation,0.182,13.48,65.15,21.36
34,354121,5104,14389,High,Tax Saving,0.215,12.57,48.78,38.65
27,613815,8299,51932,High,Retirement,0.076,12.82,66.74,20.44
18,338885,6404,27848,Medium,Wealth Creation,0.178,12.64,65.03,22.33
30,938101,16248,49516,Medium,Short-Term,0.236,4.57,34.27,61.16
43,1177469,29731,63611,Medium,Retirement,0.048,11.83,50.27,37.9
39,756936,18831,42769,Low,Wealth Creation,0.073,19.98,54.26,25.76
39,723868,13562,47289,Low,Short-Term,0.02,44.78,24.69,30.53
41,510355,11047,119691,Medium,Short-Term,0.147,9.34,31.51,59.15
32,1388746,30340,60681,Low,Emergency Fund,0.162,22.48,47.8,29.72
33,1039895,13237,26475,High,Wealth Creation,0.121,13.5,67.81,18.69
27,1086548,19254,50197,Medium,Tax Saving,0.14,4.85,57.53,37.63
29,570084,10624,99131,Medium,Wealth Creation,0.097,13.47,68.4,18.12
36,588755,12930,25861,Medium,Education,0.141,5.26,43.82,50.92
41,518790,9070,96725,Low,Short-Term,0.284,43.64,23.28,33.09
30,895631,20741,102641,Medium,Tax Saving,0.051,4.58,57.01,38.42
28,353649,4965,9931,Medium,Wealth Creation,0.027,12.64,68.0,19.36
32,2274264,62916,206117,Medium,Wealth Creation,0.215,13.25,66.24,20.51
36,397098,8361,16722,Low,Wealth Creation,0.16,20.89,52.69,26.42
20,543533,12822,96907,High,Wealth Creation,0.062,12.79,67.16,20.04
18,1024108,11668,23337,Medium,Wealth Creation,0.054,11.01,71.12,17.87
27,916676,19206,38412,Medium,Wealth Creation,0.072,14.45,65.94,19.61
22,562088,14970,88503,Low,Short-Term,0.048,35.76,27.85,36.39
27,362626,5249,17770,High,Wealth Creation,0.136,14.04,67.32,18.64
30,314444,6406,21150,Low,Wealth Creation,0.013,18.37,58.19,23.45
28,1046582,19184,38368,High,Wealth Creation,0.058,15.05,63.84,21.11
43,2568657,44771,129559,Low,Tax Saving,0.092,25.09,37.61,37.3
34,626598,11354,152868,Low,Retirement,0.021,23.22,50.82,25.95
34,408999,4936,20932,Medium,Retirement,0.045,4.84,63.73,31.43
36,300000,6302,12604,High,Short-Term,0.094,22.51,45.14,32.34
22,300000,4249,36455,High,Wealth Creation,0.108,14.86,64.79,20.34
40,894681,19600,44060,Medium,Retirement,0.08,8.34,52.25,39.41
31,1918188,45070,414560,Low,Wealth Creation,0.158,15.1,57.6,27.3
37,1324044,20898,76574,High,Retirement,0.015,14.57,65.64,19.8
23,643223,13402,26804,Low,Tax Saving,0.237,18.79,45.3,35.91
19,345500,10081,24344,High,Wealth Creation,0.015,12.11,66.5,21.4
38,643852,12441,55286,Low,Short-Term,0.301,41.49,29.59,28.93
35,1918144,33462,66924,High,Education,0.091,20.04,59.41,20.55
24,642495,9850,47368,High,Tax Saving,0.21,10.27,52.48,37.25
25,300000,5664,58954,Medium,Tax Saving,0.074,4.85,57.43,37.71
41,650930,7735,30246,Low,Retirement,0.081,37.08,39.34,23.58
22,306012,5980,22167,High,Tax Saving,0.053,11.33,49.81,38.86
45,777124,13555,56032,Medium,Retirement,0.107,12.69,49.11,38.2
24,798843,11137,56241,High,Tax Saving,0.05,11.85,50.18,37.97
37,822882,10158,25781,High,Wealth Creation,0.125,10.65,67.12,22.23
29,653434,9623,19246,High,Wealth Creation,0.178,13.23,69.51,17.27
36,1914687,24777,114359,Medium,Wealth Creation,0.048,16.07,64.96,18.96
27,422178,9307,37024,Medium,Wealth Creation,0.079,13.38,66.0,20.62
30,2195600,22788,45576,Medium,Tax Saving,0.026,4.69,59.42,35.89
32,506812,5749,44053,Medium,Wealth Creation,0.127,14.01,67.07,18.92
23,579775,13819,61854,Medium,Wealth Creation,0.023,13.91,67.1,18.99
37,758719,11048,23286,Medium,Wealth Creation,0.071,15.36,64.72,19.92
27,697114,16549,33099,High,Wealth Creation,0.162,16.3,66.36,17.33
30,919593,10760,43043,Medium,Wealth Creation,0.207,12.63,67.82,19.54
24,714992,18435,195215,Medium,Retirement,0.185,4.5,63.7,31.8
18,300000,5579,16619,Low,Property Purchase,0.232,22.52,47.35,30.13
30,362868,7691,18279,Medium,Retirement,0.083,4.7,64.63,30.67
50,3000000,49181,98362,Low,Emergency Fund,0.262,37.13,36.0,26.87
38,678350,8815,41010,Medium,Short-Term,0.081,6.14,34.63,59.23
31,1135071,19659,49757,Medium,Wealth Creation,0.169,12.84,68.0,19.16
29,300000,6759,14505,High,Short-Term,0.095,22.84,46.83,30.34
32,637961,9092,18184,Medium,Tax Saving,0.148,4.58,58.21,37.22
36,796273,8447,24878,Medium,Short-Term,0.07,4.71,36.3,58.99
22,682386,11779,56745,High,Short-Term,0.155,21.97,45.1,32.93
40,300000,4317,14004,Medium,Education,0.103,8.16,43.92,47.92
37,986690,20695,45225,Medium,Tax Saving,0.152,5.07,56.93,37.99
37,448296,9120,68025,High,Short-Term,0.036,23.71,45.89,30.39
35,1017660,12628,57489,Medium,Retirement,0.124,4.84,58.84,36.32
32,404840,9433,24099,Low,Wealth Creation,0.049,17.86,56.65,25.49
37,529437,11249,22498,Low,Wealth Creation,0.139,19.89,51.4,28.72
36,736885,16273,32547,Medium,Education,0.134,5.07,44.86,50.07
29,361226,7663,15326,Medium,Short-Term,0.093,4.77,35.11,60.12
27,477586,10139,36289,Medium,Wealth Creation,0.129,13.31,67.43,19.26
32,376473,9345,51237,Medium,Emergency Fund,0.055,4.56,57.15,38.3
44,352812,9363,18726,Low,Retirement,0.301,34.03,40.8,25.16
22,924941,18385,111447,Medium,Wealth Creation,0.092,12.94,67.93,19.12
20,300000,6239,35670,High,Wealth Creation,0.181,10.36,69.05,20.6
33,703355,11733,176001,High,Short-Term,0.098,21.13,45.4,33.47
32,1194265,14495,28991,Low,Retirement,0.125,22.57,51.08,26.36
33,542557,11449,22898,Medium,Tax Saving,0.05,4.93,57.21,37.86
33,486871,10027,37864,Medium,Tax Saving,0.167,4.87,58.8,36.32
30,807909,15886,31772,Low,Wealth Creation,0.207,17.86,57.45,24.69
43,2049545,50752,257831,Low,Wealth Creation,0.118,23.2,49.9,26.9
19,300000,3244,10485,Low,Wealth Creation,0.066,16.59,59.39,24.01
25,533963,12127,100971,High,Short-Term,0.118,23.11,46.59,30.3
31,300000,3803,7642,Medium,Retirement,0.247,4.65,63.55,31.8
18,332810,7081,14162,Medium,Retirement,0.031,4.67,62.27,33.07
30,729650,7775,56690,Low,Wealth Creation,0.068,15.84,59.61,24.55
45,648111,13296,133412,Medium,Retirement,0.09,13.41,48.77,37.82
32,573313,17379,34758,Medium,Short-Term,0.032,4.78,34.59,60.63
33,342009,5454,63879,Low,Property Purchase,0.176,22.86,49.04,28.1
21,521537,8695,27894,Medium,Emergency Fund,0.084,4.82,59.43,35.75
27,1180777,26554,148684,Medium,Education,0.174,4.71,46.49,48.79
28,349452,7151,53331,Low,Short-Term,0.076,33.45,27.94,38.61
29,472454,6676,13353,Medium,Retirement,0.056,4.61,63.97,31.42
42,1360478,26260,160108,Medium,Tax Saving,0.032,6.33,53.34,40.33
36,1782859,32692,132495,Medium,Retirement,0.076,4.87,57.18,37.95
23,300000,6627,30412,Medium,Short-Term,0.139,4.48,35.55,59.96
33,722318,17219,47697,High,Retirement,0.143,17.19,63.18,19.62
35,1006965,21868,103109,Medium,Emergency Fund,0.203,4.9,58.08,37.02
41,919938,21550,88249,Medium,Retirement,0.298,8.3,52.52,39.17
44,300000,4834,14088,High,Tax Saving,0.125,11.05,50.87,38.09
23,738830,19941,69368,High,Short-Term,0.087,25.47,43.27,31.26
25,1462696,27298,166011,Medium,Wealth Creation,0.079,12.27,67.25,20.48
21,534627,11116,22232,Medium,Property Purchase,0.166,4.71,59.5,35.79
30,378786,9248,32926,Low,Short-Term,0.086,32.78,29.2,38.02
35,619809,10404,43800,Medium,Retirement,0.2,4.93,56.87,38.2
39,2740073,54929,117300,Low,Retirement,0.134,34.18,40.68,25.14
31,1268498,26758,147373,Low,Wealth Creation,0.106,17.66,57.88,24.46
29,1007208,27731,86712,High,Wealth Creation,0.028,12.0,67.63,20.37
33,966413,13727,27454,Medium,Short-Term,0.109,4.79,31.81,63.39
25,392076,4480,12787,High,Property Purchase,0.122,13.48,67.01,19.51
48,1035486,19331,69881,Low,Wealth Creation,0.063,28.57,41.65,29.77
19,408896,7939,15878,Medium,Tax Saving,0.167,4.61,57.12,38.27
33,1094340,10547,46174,Low,Emergency Fund,0.107,21.21,49.45,29.34
48,2855395,61230,122460,Low,Emergency Fund,0.156,33.09,36.65,30.27
32,1469808,14344,90280,Medium,Emergency Fund,0.038,4.86,57.82,37.32
30,303820,5361,10723,High,Short-Term,0.104,24.65,44.63,30.72
29,776112,17063,64973,Low,Wealth Creation,0.168,15.22,61.01,23.77
30,1110794,14811,44210,Low,Short-Term,0.101,36.05,27.84,36.1
42,1485258,31792,63584,Low,Retirement,0.071,34.49,42.05,23.46
18,300000,5374,10749,High,Wealth Creation,0.1,10.77,68.42,20.81
44,3000000,56418,147511,Medium,Emergency Fund,0.054,8.29,50.45,41.26
20,300000,6275,41244,High,Short-Term,0.074,23.48,45.52,31.0
29,363725,6851,31990,Medium,Education,0.028,4.47,45.85,49.68
28,764075,17902,78197,High,Short-Term,0.07,22.7,44.51,32.79
36,3000000,62295,480430,Medium,Short-Term,0.095,5.13,33.13,61.74
19,300000,6758,24383,Medium,Education,0.04,4.44,48.06,47.5
35,718236,7335,48583,Medium,Wealth Creation,0.024,13.85,64.53,21.62
48,2204183,53510,192851,Medium,Emergency Fund,0.064,15.37,46.33,38.3
21,472276,8173,26787,Medium,Retirement,0.136,4.64,65.71,29.65
33,644620,9331,87262,Low,Emergency Fund,0.074,23.59,47.65,28.75
26,867162,11051,82119,Medium,Wealth Creation,0.203,12.65,67.64,19.71
35,983536,14630,68358,Medium,Emergency Fund,0.247,4.94,56.24,38.82
32,1398883,26326,68204,Medium,Wealth Creation,0.08,12.77,67.07,20.16
26,1349302,20189,44168,Medium,Tax Saving,0.091,4.55,58.47,36.98
35,1019003,23806,162854,Low,Emergency Fund,0.278,25.09,45.85,29.06
46,1323371,19084,106647,Low,Education,0.178,41.77,32.21,26.02
30,809397,16142,32284,Low,Retirement,0.044,19.83,55.55,24.62
37,1198864,25366,138868,Medium,Tax Saving,0.159,4.84,56.66,38.5
21,507882,10206,69804,High,Education,0.086,21.87,59.76,18.37
24,558508,9702,28457,Medium,Short-Term,0.123,4.48,35.95,59.57
35,1731422,27369,54739,Low,Wealth Creation,0.124,20.44,53.35,26.22
43,2599787,54087,305904,Medium,Wealth Creation,0.042,14.37,65.05,20.59
34,332334,5243,10486,Medium,Short-Term,0.075,4.76,34.86,60.38
29,691533,10720,21441,Medium,Education,0.034,4.47,47.08,48.45
31,496045,7892,28663,Low,Emergency Fund,0.142,20.75,48.46,30.79
21,414827,9818,55886,High,Short-Term,0.085,25.95,44.72,29.33
36,1108807,23490,46980,Medium,Wealth Creation,0.084,15.45,67.53,17.02
39,1384426,15009,33874,Medium,Wealth Creation,0.048,13.8,66.1,20.1
28,616667,12824,35208,High,Wealth Creation,0.048,15.34,65.81,18.85
28,300000,3422,12914,Medium,Wealth Creation,0.189,13.48,66.58,19.93
34,450134,7999,15999,Low,Wealth Creation,0.132,19.53,54.1,26.37
28,1134736,26246,350627,High,Education,0.167,19.2,60.46,20.34
31,300000,5193,15455,Low,Short-Term,0.067,34.04,28.19,37.78
48,2385508,23217,239189,Medium,Property Purchase,0.035,11.96,45.21,42.82
30,957827,23286,60850,Medium,Emergency Fund,0.113,4.57,58.62,36.82
29,1494194,35890,125372,High,Wealth Creation,0.095,11.94,66.21,21.85
26,550799,9989,19978,High,Education,0.079,20.95,60.02,19.03
37,300000,5433,10867,High,Wealth Creation,0.007,14.68,65.43,19.89
30,924042,21064,53097,Medium,Property Purchase,0.076,4.67,58.68,36.65
26,1332368,16267,91234,Medium,Short-Term,0.161,4.48,33.92,61.61
42,1766487,25415,87259,Medium,Wealth Creation,0.073,14.85,62.15,23.0
43,694712,10714,51594,Medium,Retirement,0.108,12.37,48.86,38.77
27,663575,20553,75991,Medium,Tax Saving,0.057,4.76,57.68,37.56
18,300000,5790,18588,Low,Emergency Fund,0.045,21.44,48.16,30.39
40,582007,14372,63170,Medium,Retirement,0.184,8.19,53.92,37.89
26,1087589,24388,55796,High,Retirement,0.06,14.36,66.97,18.67
38,442686,8685,26477,Medium,Tax Saving,0.196,5.13,56.85,38.01
18,300000,3292,6585,High,Tax Saving,0.123,10.52,52.37,37.11
39,478748,5525,20709,Low,Tax Saving,0.019,24.99,36.46,38.56
22,300000,6657,15182,Medium,Tax Saving,0.072,4.59,57.96,37.45
37,978440,21378,42756,Medium,Short-Term,0.063,7.16,35.07,57.77
32,1511373,27012,54024,Low,Tax Saving,0.17,18.68,43.41,37.91
24,500497,8929,73214,High,Wealth Creation,0.209,12.3,67.41,20.3
28,300000,3206,6413,Low,Emergency Fund,0.136,20.12,50.91,28.97
37,1468664,19058,99427,Medium,Retirement,0.144,4.89,55.47,39.64
32,2120360,44755,193633,Medium,Education,0.072,4.72,45.79,49.5
36,588253,9636,33060,Low,Short-Term,0.14,41.2,25.78,33.02
47,859438,18757,105798,Medium,Tax Saving,0.206,10.8,46.2,43.0
19,595663,11517,57675,Medium,Wealth Creation,0.087,12.46,67.11,20.44
44,2840542,50753,256793,Low,Tax Saving,0.087,26.14,36.17,37.69
32,564319,7035,60238,Medium,Short-Term,0.119,4.62,34.43,60.95
24,300000,4932,51239,Medium,Short-Term,0.129,4.5,34.43,61.07
21,706841,12121,51735,Low,Emergency Fund,0.109,20.87,47.15,31.98
30,1150285,22081,52060,Medium,Education,0.076,4.61,45.95,49.43
39,937773,14150,51393,Medium,Property Purchase,0.034,5.15,55.72,39.14
30,518317,11313,22627,Low,Short-Term,0.049,33.11,29.32,37.58
44,1910834,51008,459092,Medium,Short-Term,0.111,15.9,29.36,54.74
20,631145,9087,30877,Medium,Property Purchase,0.112,4.61,58.45,36.95
31,471435,13316,199743,Medium,Tax Saving,0.016,4.69,57.76,37.54
21,514454,10970,25596,High,Wealth Creation,0.046,13.53,67.08,19.39
34,365621,5319,10638,High,Retirement,0.066,13.85,65.66,20.49
39,1399534,18451,127385,Medium,Education,0.055,6.98,43.25,49.77
28,568909,14573,89553,Low,Tax Saving,0.145,19.74,44.27,35.98
18,307980,3494,19253,Medium,Short-Term,0.094,4.45,33.24,62.31
33,774363,13806,27612,Medium,Emergency Fund,0.102,4.68,56.92,38.4
35,857845,15014,36724,Medium,Wealth Creation,0.122,16.67,65.73,17.6
35,1421429,24967,71191,Medium,Short-Term,0.205,4.83,34.31,60.86
41,1421633,32151,95887,Medium,Wealth Creation,0.148,13.8,64.23,21.96
23,487795,7049,18400,High,Wealth Creation,0.16,11.82,67.54,20.63
37,1401035,22993,73243,High,Wealth Creation,0.093,13.53,65.91,20.56
41,1257187,24947,49894,Low,Wealth Creation,0.007,23.18,49.36,27.46
18,309669,6054,39457,Medium,Property Purchase,0.021,4.69,59.31,35.99
34,755246,18834,96557,Medium,Retirement,0.103,4.83,63.77,31.4
27,593924,7723,45542,Medium,Short-Term,0.096,4.48,35.01,60.52
31,993516,21092,84218,High,Wealth Creation,0.043,15.28,65.04,19.68
34,657552,11744,78371,Medium,Tax Saving,0.141,4.87,56.46,38.67
28,516279,10269,20539,High,Education,0.042,20.74,60.66,18.6
26,2003490,32899,65799,High,Wealth Creation,0.101,12.66,67.07,20.26
32,1330061,30229,127857,Low,Wealth Creation,0.111,19.06,54.38,26.56
23,337416,5420,20731,High,Wealth Creation,0.192,12.64,68.33,19.04
23,750527,16429,33110,High,Short-Term,0.119,23.44,44.34,32.23
37,951067,19821,109157,Low,Wealth Creation,0.014,22.57,53.61,23.82
22,658012,10598,21197,Medium,Wealth Creation,0.096,13.43,65.32,21.25
37,959130,26748,97720,Medium,Retirement,0.049,4.86,56.59,38.56
35,1720174,35449,251240,Low,Wealth Creation,0.059,17.61,55.22,27.17
18,498129,7012,17736,High,Short-Term,0.218,23.81,46.96,29.23
26,592016,11278,22556,High,Wealth Creation,0.038,12.71,68.8,18.48
41,1847943,25852,301682,Low,Property Purchase,0.154,28.08,42.68,29.24
24,636965,13735,66752,Medium,Retirement,0.217,4.67,65.9,29.43
28,706803,16871,84144,Medium,Wealth Creation,0.178,12.9,67.69,19.41
35,1017071,14068,72686,High,Wealth Creation,0.07,14.75,65.49,19.75
38,857157,8875,17750,Medium,Retirement,0.15,7.89,53.97,38.14
29,703576,7336,39252,Medium,Emergency Fund,0.14,4.61,57.92,37.46
27,443409,11662,48662,High,Retirement,0.141,13.83,64.96,21.21
43,659147,12330,116851,High,Wealth Creation,0.071,17.49,64.51,17.99
45,602991,12018,55870,Low,Retirement,0.123,36.3,40.31,23.38
39,410268,6679,13358,Low,Retirement,0.2,32.25,43.25,24.5
32,452478,6698,21462,Medium,Short-Term,0.184,4.84,35.76,59.4
25,529936,5795,11590,Medium,Retirement,0.077,4.76,64.61,30.64
25,621179,16000,32000,Medium,Short-Term,0.217,4.66,32.65,62.7
36,726139,9166,30076,Low,Tax Saving,0.11,21.42,40.4,38.18
35,300000,5903,15500,High,Tax Saving,0.212,8.59,50.87,40.54
43,2650162,64367,518266,Low,Emergency Fund,0.141,30.96,38.07,30.97
37,1689034,26985,317382,Medium,Retirement,0.083,5.49,57.33,37.18
19,587181,7905,25225,Low,Retirement,0.102,20.41,54.76,24.83
40,3000000,65434,217190,Low,Short-Term,0.032,45.58,24.63,29.79
24,306189,4596,20874,High,Wealth Creation,0.09,12.48,69.13,18.39
28,2089387,27273,213714,Medium,Education,0.127,4.56,46.18,49.26
34,448331,5919,11839,High,Education,0.006,21.09,57.76,21.16
47,1326111,19562,50487,Low,Education,0.064,42.38,30.98,26.64
50,558790,6084,12168,Low,Retirement,0.067,41.57,33.9,24.53
36,879060,8456,16912,Medium,Education,0.169,5.01,43.77,51.22
30,899363,9320,18640,High,Wealth Creation,0.183,13.39,68.34,18.26
36,780947,13881,37903,High,Wealth Creation,0.119,14.15,66.43,19.42
39,1423469,13716,205749,Medium,Emergency Fund,0.017,5.11,54.47,40.42
29,727847,7061,14123,High,Retirement,0.052,13.15,66.78,20.07
46,810623,13007,36728,Medium,Retirement,0.112,13.17,47.98,38.86
33,566529,12765,130912,Low,Retirement,0.054,24.21,49.81,25.99
35,1381953,23126,46253,High,Wealth Creation,0.01,11.54,67.33,21.13
37,596625,9500,19001,Medium,Emergency Fund,0.222,4.93,55.21,39.87
35,1444986,19983,77961,Medium,Emergency Fund,0.216,4.7,56.25,39.05
38,1911404,35006,83173,Low,Tax Saving,0.043,21.25,39.98,38.77
27,300000,5933,11867,High,Tax Saving,0.11,11.63,49.66,38.71
27,1259696,27050,376454,High,Retirement,0.087,11.98,65.96,22.06
23,1824520,29670,195583,High,Emergency Fund,0.035,13.21,67.76,19.03
35,974672,19975,45062,Medium,Retirement,0.163,4.93,56.72,38.35
38,1297578,11692,40512,Low,Wealth Creation,0.054,19.73,53.98,26.29
35,1567839,15557,31114,Medium,Education,0.086,4.94,46.78,48.28
45,919612,18585,177551,Low,Wealth Creation,0.057,23.63,45.81,30.56
31,835431,13199,26399,Medium,Short-Term,0.112,4.7,34.18,61.11
37,401678,7957,38283,Low,Wealth Creation,0.029,23.36,52.0,24.63
23,577775,7273,109103,Low,Retirement,0.096,21.37,54.7,23.93
28,906860,17813,44732,Medium,Tax Saving,0.097,4.59,58.22,37.19
37,1211865,31112,193905,Medium,Education,0.119,5.03,44.77,50.2
38,1743122,30184,60369,Low,Wealth Creation,0.067,20.09,52.46,27.45
29,434222,8485,52349,Low,Education,0.21,27.72,38.42,33.86
31,534446,9762,44006,Medium,Tax Saving,0.045,4.47,58.23,37.3
19,1392110,18058,71309,High,Wealth Creation,0.178,8.92,69.53,21.54
29,620066,10092,28837,High,Education,0.089,18.06,61.14,20.81
39,1046424,11419,25218,Medium,Short-Term,0.247,5.29,33.21,61.5
36,830951,23526,47052,Medium,Education,0.085,4.87,46.06,49.07
36,519249,11058,94541,Low,Tax Saving,0.157,21.22,39.9,38.88
32,2012989,40737,98878,Medium,Wealth Creation,0.119,14.26,65.37,20.37
32,547484,10078,46823,Medium,Education,0.182,4.85,46.64,48.5
26,314194,9032,35499,High,Wealth Creation,0.103,14.7,66.12,19.19
37,678927,6344,37957,Low,Emergency Fund,0.135,26.41,43.17,30.42
35,300000,3518,30701,Medium,Tax Saving,0.086,4.88,58.13,36.99
35,573974,13655,29448,Low,Wealth Creation,0.206,22.08,52.88,25.04
27,360702,8281,70262,High,Wealth Creation,0.063,14.87,66.05,19.08
18,579358,9800,35470,High,Property Purchase,0.154,11.9,69.04,19.06
40,647203,17461,34923,Medium,Tax Saving,0.189,5.69,53.67,40.63
28,1114482,22639,93759,High,Tax Saving,0.09,9.6,51.25,39.15
25,1336358,39476,85073,Low,Tax Saving,0.119,16.83,41.95,41.22
37,1420068,34260,105016,High,Short-Term,0.105,23.18,45.81,31.01
28,590179,11694,48733,Medium,Property Purchase,0.105,4.6,58.53,36.87
40,1046985,16750,63311,Medium,Tax Saving,0.066,6.67,54.37,38.96
36,349814,8065,27472,Low,Wealth Creation,0.05,23.03,51.4,25.56
37,818321,10990,74376,Medium,Tax Saving,0.222,6.29,55.51,38.21
21,300000,4386,23638,Medium,Education,0.005,4.55,47.96,47.48
41,1505244,25628,178983,Low,Wealth Creation,0.206,23.76,49.65,26.59
34,3000000,74319,159399,High,Emergency Fund,0.151,14.53,65.99,19.48
29,912602,18859,40444,Medium,Short-Term,0.311,4.62,32.52,62.86
33,300000,6635,49367,Low,Tax Saving,0.139,18.73,42.2,39.07
18,322056,7076,22573,Low,Emergency Fund,0.056,23.34,46.76,29.9
35,895160,21917,103657,Medium,Tax Saving,0.129,4.86,57.69,37.45
23,573406,10156,21780,Low,Wealth Creation,0.059,15.93,60.31,23.75
21,309260,6585,20753,Medium,Education,0.09,4.6,45.38,50.02
19,516169,10152,77407,Medium,Retirement,0.131,4.49,63.96,31.56
40,461465,10913,21826,Low,Emergency Fund,0.075,24.8,43.15,32.05
26,354051,6055,21133,Low,Short-Term,0.151,32.45,31.89,35.66
44,1556862,23691,218210,Low,Retirement,0.087,38.48,40.17,21.35
27,349497,3778,8805,Medium,Wealth Creation,0.143,12.26,67.63,20.11
18,564244,9048,18096,Low,Short-Term,0.057,33.6,29.63,36.77
23,300000,4380,8761,Medium,Retirement,0.114,4.75,64.84,30.41
41,2875003,54280,305064,Low,Retirement,0.046,32.33,41.84,25.84
30,451714,4918,23559,Low,Property Purchase,0.218,22.74,49.05,28.21
27,559925,6090,29885,High,Education,0.073,16.13,61.36,22.51
33,953583,12849,105653,Medium,Short-Term,0.107,4.67,34.81,60.51
36,605736,16641,40612,Medium,Tax Saving,0.159,4.83,55.16,40.01
40,1060950,16568,80856,Low,Retirement,0.092,33.75,43.45,22.8
43,1468359,26614,136281,Medium,Short-Term,0.207,14.45,28.52,57.02
29,1206626,30399,122279,Medium,Tax Saving,0.1,4.52,56.42,39.05
21,779470,14093,53204,High,Wealth Creation,0.209,15.22,66.38,18.4
28,601943,11299,43843,High,Wealth Creation,0.139,13.22,66.89,19.89
34,734506,10222,44137,Low,Wealth Creation,0.066,22.24,51.86,25.91
24,2281243,61469,255580,High,Property Purchase,0.086,13.78,64.84,21.38
24,987634,14833,84602,Medium,Short-Term,0.155,4.65,35.04,60.31
34,470922,7161,34224,Medium,Short-Term,0.069,4.76,32.85,62.39
31,786039,15947,31895,Low,Retirement,0.21,23.23,51.32,25.45
32,618746,13889,100940,Low,Retirement,0.228,21.83,53.66,24.51
25,551638,9150,18301,Medium,Education,0.18,4.75,46.1,49.15
30,336624,4437,25216,Low,Tax Saving,0.112,17.64,42.84,39.52
24,441396,6807,29521,Medium,Wealth Creation,0.079,15.03,64.58,20.39
39,2751792,48992,220302,Low,Retirement,0.03,32.05,41.71,26.24
40,1354653,27984,213551,Medium,Wealth Creation,0.229,14.72,64.49,20.78
18,300000,4193,20895,Low,Retirement,0.057,22.28,53.67,24.06
24,1170588,37827,118047,High,Short-Term,0.194,23.86,46.1,30.04
20,866590,24288,111093,High,Education,0.102,19.63,60.96,19.41
26,499766,8539,18857,Low,Tax Saving,0.056,16.54,44.18,39.28
31,1127693,14445,28891,Medium,Short-Term,0.113,4.59,34.22,61.19
20,300000,3672,7403,High,Short-Term,0.201,22.26,47.24,30.5
24,426572,11660,59896,High,Short-Term,0.089,23.11,44.47,32.43
23,1349657,31080,62160,Low,Tax Saving,0.071,18.93,42.23,38.83
33,672386,7306,14613,Low,Education,0.032,28.84,37.28,33.88
32,300000,6799,22501,Low,Emergency Fund,0.259,24.68,47.78,27.54
26,583080,8138,58698,Medium,Education,0.092,4.52,46.5,48.98
33,749191,10162,39155,Low,Tax Saving,0.127,20.63,41.12,38.25
27,1314913,28648,89518,Medium,Emergency Fund,0.026,4.68,58.06,37.26
29,701678,11547,23978,Medium,Wealth Creation,0.082,13.39,67.3,19.32
45,842269,22114,44229,Medium,Tax Saving,0.133,12.17,48.23,39.6
